Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\January2022\January2022_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,3/10/22,,,,,,,,,,,,,
Time,12:06:26 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.029,0.028,0.072,0.077,0.094,0.112,0.076,0.082,0.077,0.08,0.12,0.093,630
,,0.029,0.028,0.206,0.23,0.289,0.337,0.209,0.235,0.225,0.234,0.29,0.29,663
,,0.029,0.029,0.029,0.029,0.03,0.037,0.032,0.03,0.032,0.03,0.064,0.03,750
,B,0.095,0.103,0.093,0.105,0.097,0.101,0.087,0.094,0.081,0.093,0.095,0.109,630
,,0.298,0.339,0.258,0.296,0.305,0.311,0.264,0.293,0.244,0.281,0.288,0.321,663
,,0.031,0.03,0.037,0.04,0.029,0.032,0.03,0.03,0.029,0.032,0.034,0.04,750
,C,0.098,0.108,0.07,0.076,0.074,0.08,0.09,0.102,0.093,0.102,0.083,0.092,630
,,0.303,0.35,0.198,0.223,0.207,0.232,0.28,0.319,0.287,0.317,0.253,0.283,663
,,0.034,0.033,0.029,0.029,0.03,0.03,0.03,0.032,0.03,0.031,0.029,0.031,750
,D,0.076,0.087,0.158,0.169,0.145,0.15,0.085,0.094,0.053,0.056,0.108,0.123,630
,,0.222,0.257,0.446,0.482,0.44,0.485,0.263,0.299,0.129,0.14,0.349,0.395,663
,,0.029,0.034,0.063,0.064,0.049,0.041,0.03,0.032,0.03,0.029,0.029,0.034,750
,E,0.114,0.134,0.078,0.085,0.131,0.156,0.059,0.064,0.065,0.092,0.081,0.095,630
,,0.354,0.432,0.234,0.263,0.434,0.506,0.145,0.167,0.415,0.401,0.245,0.291,663
,,0.034,0.034,0.032,0.032,0.032,0.042,0.032,0.032,0.095,0.076,0.061,0.034,750
,F,0.109,0.122,0.141,0.151,0.108,0.124,0.096,0.105,0.065,0.068,0.096,0.099,630
,,0.331,0.389,0.469,0.518,0.343,0.386,0.307,0.348,0.157,0.177,0.289,0.305,663
,,0.036,0.034,0.033,0.032,0.032,0.039,0.03,0.03,0.033,0.032,0.033,0.033,750
,G,0.122,0.118,0.065,0.067,0.033,0.032,0.032,0.031,0.032,0.042,0.032,0.031,630
,,0.409,0.394,0.149,0.153,0.033,0.032,0.032,0.031,0.032,0.042,0.032,0.03,663
,,0.032,0.032,0.035,0.038,0.032,0.032,0.032,0.031,0.031,0.042,0.032,0.03,750
,H,0.03,0.029,0.029,0.029,0.034,0.029,0.029,0.031,0.03,0.031,0.032,0.029,630
,,0.029,0.029,0.029,0.029,0.035,0.029,0.029,0.031,0.03,0.03,0.032,0.029,663
,,0.029,0.029,0.029,0.029,0.034,0.028,0.029,0.031,0.029,0.03,0.032,0.029,750
