colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.1,144.321,
2,Standard,6.22,90.39,94.226,
3,Standard,5.08,44.092,46.408,
4,Standard,3.16,12.281,12.966,
5,Standard,2.52,6.284,6.691,
6,Standard,1.9,2.708,2.899,
7,Standard,1.18,0.537,0.588,
ACR-434,Coral,NA,3.0969,3.6459,
ACR-428,Coral,NA,1.204,1.5683,
ACR-451,Coral,NA,4.0622,4.76,
ACR-458,Coral,NA,2.1148,2.7593,
ACR-459,Coral,NA,0.7925,1.0793,
ACR-465,Coral,NA,1.323,1.5838,
ACR-424,Coral,NA,1.5929,1.9548,
ACR-418,Coral,NA,1.1363,1.366,
ACR-429,Coral,NA,2.5187,2.8572,
ACR-423,Coral,NA,1.2071,1.5246,
ACR-449,Coral,NA,1.408,1.8213,
ACR-437,Coral,NA,1.6644,2.0824,
ACR-460,Coral,NA,3.7929,4.5498,
ACR-463,Coral,NA,3.1579,4.0345,
ACR-438,Coral,NA,3.4401,4.0634,
ACR-415,Coral,NA,2.8767,3.5196,
ACR-420,Coral,NA,1.0453,1.3042,
ACR-433,Coral,NA,0.5565,0.7781,
ACR-421,Coral,NA,2.6264,3.1637,
ACR-461,Coral,NA,4.1593,5.1533,
ACR-416,Coral,NA,1.1231,1.4269,
ACR-432,Coral,NA,0.7226,0.9757,
ACR-435,Coral,NA,2.9965,3.4396,
ACR-462,Coral,NA,2.4588,3.2648,
ACR-431,Coral,NA,3.3191,3.9857,
ACR-414,Coral,NA,1.0678,1.3832,
ACR-446,Coral,NA,2.9502,3.461,
ACR-426,Coral,NA,4.9,5.6796,
ACR-425,Coral,NA,2.2094,2.6744,
ACR-456,Coral,NA,1.7826,2.2105,
ACR-464,Coral,NA,1.4122,1.6924,
ACR-439,Coral,NA,2.7713,3.2771,
ACR-417,Coral,NA,1.5435,1.8269,
ACR-427,Coral,NA,2.5535,2.9756,
ACR-447,Coral,NA,3.7912,4.3358,
ACR-422,Coral,NA,4.6214,5.3831,
ACR-457,Coral,NA,4.4733,5.4817,
ACR-436,Coral,NA,2.6646,3.1783,
ACR-430,Coral,NA,3.7106,4.4525,
ACR-448,Coral,NA,4.4357,5.0703,
